CpG;LM_1;LM_2;LM_3;LM_4;LM_5;LM_6;LM_7;LM_8;LM_9;LM_10;IM_1;IM_2;IM_3;IM_4;IM_5;IM_6;IM_7;IM_8;IM_9;IM_10;HM_1;HM_2;HM_3;HM_4;HM_5;HM_6;HM_7;HM_8;HM_9;HM_10
cg09358973;0,04;0,05;0,11;0,02;0,07;0,28;0,08;0,20;0,06;0,37;0,67;0,77;0,68;0,12;0,85;0,68;0,51;0,56;0,74;0,36;0,86;0,93;0,87;0,93;0,90;0,89;0,88;0,91;0,96;0,94
cg23964682;0,02;0,03;0,02;0,03;0,03;0,07;0,03;0,04;0,03;0,53;0,55;0,27;0,23;0,47;0,29;0,40;0,33;0,47;0,55;0,48;0,87;0,91;0,85;0,71;0,87;0,89;0,92;0,92;0,95;0,96
cg13030331;0,17;0,27;0,24;0,18;0,28;0,26;0,21;0,22;0,19;0,60;0,63;0,45;0,45;0,45;0,55;0,54;0,45;0,54;0,54;0,54;0,86;0,94;0,87;0,79;0,89;0,92;0,90;0,94;0,98;0,96
cg23888450;0,37;0,31;0,23;0,35;0,34;0,22;0,45;0,32;0,36;0,92;0,27;0,87;0,55;0,83;0,55;0,70;0,71;0,55;0,55;0,82;0,88;0,93;0,89;0,95;0,92;0,95;0,93;0,93;0,98;0,98
cg04885832;0,03;0,03;0,04;0,06;0,04;0,03;0,04;0,05;0,03;0,08;0,11;0,06;0,28;0,23;0,25;0,05;0,23;0,44;0,18;0,14;0,89;0,66;0,91;0,94;0,85;0,94;0,91;0,96;0,97;0,97
cg12134633;0,17;0,27;0,26;0,40;0,31;0,20;0,26;0,28;0,39;0,66;0,90;0,88;0,92;0,87;0,74;0,89;0,85;0,73;0,84;0,95;0,95;0,96;0,95;0,97;0,97;0,97;0,95;0,98;0,97;0,98
cg21053323;0,07;0,08;0,18;0,06;0,06;0,08;0,07;0,05;0,11;0,34;0,44;0,31;0,51;0,67;0,46;0,45;0,63;0,45;0,37;0,54;0,83;0,82;0,82;0,92;0,85;0,82;0,89;0,88;0,93;0,96
